Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,PnL,Reason
NSE_EQ|INE002A01018,2025-12-03 10:52:15,LONG,1538.5,2025-12-03 10:52:18,1537.9,-0.60,STOP LOSS (Support Broken)
NSE_EQ|INE002A01018,2025-12-03 10:52:18,SHORT,1537.9,2025-12-03 10:52:28,1538.2,-0.30,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-03 10:52:44,SHORT,1538.2,2025-12-03 10:52:50,1538.4,-0.20,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-03 11:01:30,SHORT,1538.6,2025-12-03 11:01:31,1538.8,-0.20,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-03 11:05:54,LONG,1536.7,2025-12-03 11:05:54,1536.6,-0.10,STOP LOSS (Support Broken)
NSE_EQ|INE002A01018,2025-12-03 11:05:54,LONG,1536.6,2025-12-03 11:06:31,1536.5,-0.10,STOP LOSS (Support Broken)
NSE_EQ|INE002A01018,2025-12-03 11:06:31,LONG,1536.5,2025-12-03 11:06:33,1536.4,-0.10,STOP LOSS (Support Broken)
NSE_EQ|INE002A01018,2025-12-03 11:06:33,LONG,1536.4,2025-12-03 11:21:11,1536.3,-0.10,STOP LOSS (Support Broken)
NSE_EQ|INE002A01018,2025-12-03 11:25:14,SHORT,1533.7,2025-12-03 11:25:14,1534.6,-0.90,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-03 11:37:09,SHORT,1534.2,2025-12-03 11:37:09,1534.8,-0.60,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-03 11:46:02,SHORT,1535.5,2025-12-03 11:46:08,1535.6,-0.10,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-03 11:46:12,SHORT,1535.3,2025-12-03 11:46:13,1535.4,-0.10,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-03 11:46:13,SHORT,1535.4,2025-12-03 11:46:15,1535.6,-0.20,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-03 11:46:20,SHORT,1535.3,2025-12-03 11:46:20,1535.6,-0.30,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-03 11:53:12,LONG,1536.6,2025-12-03 11:53:14,1536.5,-0.10,STOP LOSS (Support Broken)
NSE_EQ|INE002A01018,2025-12-03 11:54:33,SHORT,1535.9,2025-12-03 11:54:34,1536.6,-0.70,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-03 12:03:23,SHORT,1537.6,2025-12-03 12:04:01,1537.7,-0.10,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-03 13:14:40,LONG,1537.9,2025-12-03 13:14:41,1537.8,-0.10,STOP LOSS (Support Broken)
NSE_EQ|INE002A01018,2025-12-04 11:40:32,SHORT,1553.0,2025-12-04 11:40:37,1553.1,-0.10,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-04 11:47:35,SHORT,1552.6,2025-12-04 11:53:02,1552.7,-0.10,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-04 11:53:02,SHORT,1552.7,2025-12-04 11:53:03,1553.0,-0.30,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-04 11:53:05,SHORT,1552.7,2025-12-04 11:53:06,1553.2,-0.50,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-04 11:53:07,SHORT,1552.7,2025-12-04 11:53:07,1552.8,-0.10,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-04 11:59:35,SHORT,1551.9,2025-12-04 11:59:36,1552.3,-0.40,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-04 12:22:30,SHORT,1547.9,2025-12-04 12:22:31,1548.6,-0.70,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-04 12:22:31,SHORT,1548.0,2025-12-04 12:22:32,1548.7,-0.70,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-04 12:22:32,SHORT,1548.4,2025-12-04 12:22:33,1548.8,-0.40,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-04 12:22:33,SHORT,1548.2,2025-12-04 12:22:34,1548.8,-0.60,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-04 12:22:35,LONG,1548.9,2025-12-04 12:22:35,1548.2,-0.70,STOP LOSS (Support Broken)
NSE_EQ|INE002A01018,2025-12-04 12:22:35,SHORT,1548.2,2025-12-04 12:22:36,1548.9,-0.70,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-04 12:22:36,SHORT,1548.3,2025-12-04 12:22:41,1548.8,-0.50,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-04 12:28:53,LONG,1549.0,2025-12-04 12:28:54,1548.7,-0.30,STOP LOSS (Support Broken)
NSE_EQ|INE002A01018,2025-12-04 12:58:10,SHORT,1548.0,2025-12-04 13:04:33,1547.5,0.50,Reversal (Failed Auction)
NSE_EQ|INE002A01018,2025-12-04 13:04:34,SHORT,1547.4,2025-12-04 13:04:35,1547.7,-0.30,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-04 13:09:36,SHORT,1546.2,2025-12-04 13:15:15,1545.7,0.50,Reversal (Failed Auction)
NSE_EQ|INE002A01018,2025-12-04 13:15:16,LONG,1545.9,2025-12-04 13:15:18,1545.6,-0.30,STOP LOSS (Support Broken)
NSE_EQ|INE002A01018,2025-12-04 13:15:19,LONG,1545.9,2025-12-04 13:15:21,1545.6,-0.30,STOP LOSS (Support Broken)
NSE_EQ|INE002A01018,2025-12-04 13:22:36,SHORT,1545.2,2025-12-04 13:30:03,1545.4,-0.20,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-04 14:08:19,SHORT,1541.4,2025-12-04 14:08:20,1541.6,-0.20,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-04 14:27:04,SHORT,1542.9,2025-12-04 14:27:05,1543.4,-0.50,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-04 14:33:27,LONG,1542.9,2025-12-04 14:33:27,1542.6,-0.30,STOP LOSS (Support Broken)
NSE_EQ|INE002A01018,2025-12-04 14:33:28,LONG,1542.9,2025-12-04 14:33:29,1542.6,-0.30,STOP LOSS (Support Broken)
NSE_EQ|INE002A01018,2025-12-04 14:46:00,SHORT,1542.0,2025-12-04 14:46:03,1542.3,-0.30,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-04 14:48:54,LONG,1543.8,2025-12-04 15:04:29,1546.4,2.60,Reversal (Failed Auction)
NSE_EQ|INE002A01018,2025-12-04 15:04:29,SHORT,1545.3,2025-12-04 15:04:30,1545.4,-0.10,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-04 15:04:30,SHORT,1545.4,2025-12-04 15:13:56,1540.0,5.40,Target (Support Hit)
NSE_EQ|INE002A01018,2025-12-04 15:25:08,SHORT,1534.1,2025-12-04 15:25:11,1534.2,-0.10,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-05 09:15:05,SHORT,1525.9,2025-12-05 09:15:06,1526.2,-0.30,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-05 09:15:06,SHORT,1526.2,2025-12-05 09:15:07,1528.2,-2.00,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-05 09:15:08,SHORT,1528.1,2025-12-05 09:22:29,1527.0,1.10,Reversal (Failed Auction)
NSE_EQ|INE002A01018,2025-12-05 09:22:30,SHORT,1527.3,2025-12-05 09:22:30,1527.0,0.30,Reversal (Failed Auction)
NSE_EQ|INE002A01018,2025-12-05 09:22:32,SHORT,1527.2,2025-12-05 09:22:42,1526.4,0.80,Reversal (Failed Auction)
NSE_EQ|INE002A01018,2025-12-05 09:28:52,SHORT,1524.5,2025-12-05 09:28:55,1524.6,-0.10,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-05 09:28:55,SHORT,1524.6,2025-12-05 09:29:27,1524.7,-0.10,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-05 09:42:46,LONG,1524.6,2025-12-05 09:42:47,1524.2,-0.40,STOP LOSS (Support Broken)
NSE_EQ|INE002A01018,2025-12-05 10:10:30,SHORT,1524.3,2025-12-05 10:10:31,1524.9,-0.60,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-05 10:16:35,LONG,1529.3,2025-12-05 10:16:41,1528.8,-0.50,STOP LOSS (Support Broken)
NSE_EQ|INE002A01018,2025-12-05 10:16:48,SHORT,1529.5,2025-12-05 10:17:03,1529.6,-0.10,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-05 10:30:53,SHORT,1524.6,2025-12-05 10:45:06,1526.2,-1.60,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-05 10:56:54,LONG,1531.9,2025-12-05 10:56:57,1531.8,-0.10,STOP LOSS (Support Broken)
NSE_EQ|INE002A01018,2025-12-05 11:49:02,SHORT,1530.9,2025-12-05 11:49:03,1531.0,-0.10,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-05 11:49:03,SHORT,1531.0,2025-12-05 11:49:04,1531.1,-0.10,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-05 11:59:30,LONG,1533.3,2025-12-05 11:59:31,1533.0,-0.30,STOP LOSS (Support Broken)
NSE_EQ|INE002A01018,2025-12-05 12:06:45,SHORT,1532.2,2025-12-05 12:06:47,1532.5,-0.30,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-05 12:06:48,LONG,1532.7,2025-12-05 12:06:49,1532.2,-0.50,STOP LOSS (Support Broken)
NSE_EQ|INE002A01018,2025-12-05 12:12:41,SHORT,1531.5,2025-12-05 12:12:45,1531.9,-0.40,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-05 12:12:45,LONG,1531.9,2025-12-05 12:12:46,1531.7,-0.20,STOP LOSS (Support Broken)
NSE_EQ|INE002A01018,2025-12-05 12:12:46,LONG,1531.9,2025-12-05 12:12:48,1531.7,-0.20,STOP LOSS (Support Broken)
NSE_EQ|INE002A01018,2025-12-05 12:12:50,LONG,1531.9,2025-12-05 12:12:51,1531.7,-0.20,STOP LOSS (Support Broken)
NSE_EQ|INE002A01018,2025-12-05 14:02:29,SHORT,1537.3,2025-12-05 14:02:31,1537.6,-0.30,STOP LOSS (Resistance Broken)
NSE_EQ|INE002A01018,2025-12-05 15:08:44,LONG,1539.9,2025-12-05 15:08:45,1539.5,-0.40,STOP LOSS (Support Broken)
NSE_EQ|INE009A01021,2025-12-03 10:40:32,LONG,1568.8,2025-12-03 10:40:33,1568.6,-0.20,STOP LOSS (Support Broken)
NSE_EQ|INE009A01021,2025-12-03 10:42:55,LONG,1567.0,2025-12-03 10:42:56,1566.3,-0.70,STOP LOSS (Support Broken)
NSE_EQ|INE009A01021,2025-12-03 10:43:40,LONG,1567.2,2025-12-03 10:43:41,1567.0,-0.20,STOP LOSS (Support Broken)
NSE_EQ|INE009A01021,2025-12-03 10:43:41,LONG,1567.0,2025-12-03 10:47:10,1571.5,4.50,Reversal (Failed Auction)
NSE_EQ|INE009A01021,2025-12-03 10:48:29,SHORT,1570.8,2025-12-03 10:48:30,1571.0,-0.20,STOP LOSS (Resistance Broken)
NSE_EQ|INE009A01021,2025-12-03 10:50:26,SHORT,1570.9,2025-12-03 10:50:27,1571.0,-0.10,STOP LOSS (Resistance Broken)
NSE_EQ|INE009A01021,2025-12-03 10:50:49,LONG,1572.6,2025-12-03 10:50:51,1572.0,-0.60,STOP LOSS (Support Broken)
NSE_EQ|INE009A01021,2025-12-03 10:53:51,SHORT,1571.7,2025-12-03 10:53:52,1572.0,-0.30,STOP LOSS (Resistance Broken)
NSE_EQ|INE009A01021,2025-12-03 10:54:37,LONG,1572.8,2025-12-03 10:54:39,1572.3,-0.50,STOP LOSS (Support Broken)
NSE_EQ|INE009A01021,2025-12-03 10:56:03,SHORT,1573.8,2025-12-03 10:56:04,1574.1,-0.30,STOP LOSS (Resistance Broken)
NSE_EQ|INE009A01021,2025-12-03 10:56:16,SHORT,1575.7,2025-12-03 10:56:17,1576.3,-0.60,STOP LOSS (Resistance Broken)
NSE_EQ|INE009A01021,2025-12-03 10:56:21,LONG,1575.6,2025-12-03 10:56:21,1575.0,-0.60,STOP LOSS (Support Broken)
NSE_EQ|INE009A01021,2025-12-03 10:56:27,LONG,1575.7,2025-12-03 10:56:28,1575.0,-0.70,STOP LOSS (Support Broken)
NSE_EQ|INE009A01021,2025-12-03 10:56:29,LONG,1575.6,2025-12-03 10:56:30,1575.5,-0.10,STOP LOSS (Support Broken)
NSE_EQ|INE009A01021,2025-12-03 10:58:51,LONG,1575.5,2025-12-03 10:58:51,1575.2,-0.30,STOP LOSS (Support Broken)
NSE_EQ|INE009A01021,2025-12-03 10:58:51,LONG,1575.2,2025-12-03 10:58:54,1574.8,-0.40,STOP LOSS (Support Broken)
NSE_EQ|INE009A01021,2025-12-03 10:58:55,LONG,1575.0,2025-12-03 10:58:55,1574.8,-0.20,STOP LOSS (Support Broken)
NSE_EQ|INE009A01021,2025-12-03 11:00:04,LONG,1576.1,2025-12-03 11:01:41,1578.0,1.90,Reversal (Failed Auction)
NSE_EQ|INE009A01021,2025-12-03 11:02:07,LONG,1578.0,2025-12-03 11:02:41,1579.0,1.00,Reversal (Failed Auction)
NSE_EQ|INE009A01021,2025-12-03 11:02:42,LONG,1579.3,2025-12-03 11:02:45,1579.0,-0.30,STOP LOSS (Support Broken)
NSE_EQ|INE009A01021,2025-12-03 11:04:29,LONG,1578.9,2025-12-03 11:04:30,1578.8,-0.10,STOP LOSS (Support Broken)
NSE_EQ|INE009A01021,2025-12-03 11:05:39,SHORT,1578.1,2025-12-03 11:05:40,1578.3,-0.20,STOP LOSS (Resistance Broken)
NSE_EQ|INE009A01021,2025-12-03 11:05:53,LONG,1577.8,2025-12-03 11:06:02,1577.7,-0.10,STOP LOSS (Support Broken)
